timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3, vol, cur,power
16.6811029911,-0.0027378364,0.2408452779,0.1161529198,0,0.3007054925,9.0789985657,0.0242628668,-0.058991033,-1.7340025042,1489,1486,1493,1521,15.5310001373,11.669921875,181.245558243
16.7833750248,-0.0287074726,0.2319844961,0.1214284077,0,0.4586504698,11.6337528229,0.0287609893,-0.0619629532,-1.7310155311,1488,1486,1493,1521,15.5150003433,13.232421875,205.301029934
16.8814198971,-0.0445456579,0.2287494838,0.1209954843,0,1.2168521881,8.2524700165,0.0250821489,-0.0708722645,-1.7303596749,1489,1486,1493,1521,15.5150003433,13.623046875,211.361576943
16.9840650558,-0.0704940781,0.2298303545,0.1082138345,0,2.1095049381,8.6452217102,0.0229716746,-0.0700231456,-1.7319379064,1488,1487,1493,1521,15.4960002899,11.71875,181.593753397
17.0823600292,-0.0771492943,0.2217262536,0.1052868515,0,0.0898491815,10.0089616776,0.0153111779,-0.0704999998,-1.7350432604,1488,1486,1493,1521,15.4960002899,11.42578125,177.053909563
17.1847829819,-0.0806876272,0.227643311,0.0990726352,0,-0.2479732335,6.9492874146,0.0132374094,-0.0772656292,-1.7396647887,1489,1486,1493,1521,15.4960002899,13.37890625,207.319535129
17.2833020687,-0.0714246333,0.2292461991,0.0864893496,0,-0.320468694,10.3390340805,0.0059943387,-0.0817338703,-1.7479232469,1489,1486,1493,1521,15.4919996262,12.5,193.649995327
17.3856890202,-0.0508450344,0.2390834838,0.0703433156,0,-0.116379112,9.0041675568,0.0001706569,-0.0835915168,-1.7556194198,1488,1486,1493,1521,15.4919996262,13.037109375,201.970893564
17.4841170311,-0.0381735899,0.2460108101,0.0643369332,0,1.6584724188,8.5899372101,0.0001625351,-0.0808426809,-1.755736501,1489,1486,1493,1521,15.4919996262,13.4765625,208.778901212
17.5866639614,-0.0273971297,0.2454631478,0.0687541515,0,1.2777459621,8.7730112076,0.0014716312,-0.0757298936,-1.7504717878,1489,1486,1493,1521,15.4870004654,12.01171875,186.025493871
17.6844439507,-0.0277438704,0.2502058148,0.0746361464,0,0.5029628277,9.4468812943,0.0072558299,-0.0725225179,-1.733642368,1489,1487,1493,1521,15.4870004654,11.279296875,174.682475952
17.7873299122,-0.0358240195,0.2391859591,0.0710014999,0,-1.5720721483,9.7963094711,0.0082918525,-0.0687864502,-1.7073034812,1489,1486,1493,1521,15.482000351,12.744140625,197.304789629
17.8855838776,-0.0389380902,0.2390544117,0.0768167526,0,-2.0411250591,8.1568403244,0.0043578045,-0.070034134,-1.6959615813,1489,1487,1493,1521,15.482000351,13.623046875,210.9120165
17.9874858856,-0.070917733,0.2249478996,0.0669942126,0,-1.7153400183,11.3922843933,0.0003645362,-0.0639022928,-1.6638114248,1489,1486,1493,1521,15.482000351,12.744140625,197.304789629
18.0899789333,-0.0835718364,0.2074923068,0.0766223818,0,1.6660124064,8.9229698181,-0.0059017343,-0.0602168146,-1.6436349189,1489,1486,1493,1521,15.4689998627,11.474609375,177.500730846
18.1882460117,-0.0933594778,0.1835663319,0.098235853,0,1.9722495079,11.3136491776,-0.0155653982,-0.0591230115,-1.618037683,1489,1492,1493,1521,15.4689998627,11.42578125,176.745408587
18.2905368805,-0.1002135351,0.1774769872,0.1027141884,0,-0.8429809809,12.5345573425,-0.0168433228,-0.0612073886,-1.6098428016,1489,1527,1493,1521,15.4589996338,12.255859375,189.46332559
18.3890659809,-0.1123440787,0.1386675537,0.0576880798,0,0.9309250116,8.5138502121,-0.0115566247,-0.0373728218,-1.5996720011,1489,1590,1492,1521,15.4589996338,14.55078125,224.940522015
18.4911608696,-0.1279985905,0.0299492553,0.1026910916,0,-0.6345965266,9.3740930557,0.0024708444,0.1012366317,-1.6008613151,1490,1591,1493,1521,15.4499998093,10.7421875,165.966794826
18.5898840427,-0.1736051589,-0.2373467237,0.1190067008,0,-1.0494599342,9.200884819,0.0054904467,0.2110516997,-1.6142815914,1490,1592,1493,1521,15.4499998093,11.572265625,178.791501699
18.6918900013,-0.190328151,-0.4588076472,0.0831800252,0,1.1019642353,10.6565113068,-0.0048620523,0.1936190984,-1.6279533834,1490,1590,1493,1521,15.4499998093,10.888671875,168.229978392
18.7910170555,-0.2013190538,-0.6279754043,0.0516340248,0,1.3054285049,7.7930417061,-0.0016467573,0.1418075091,-1.6428787151,1490,1591,1493,1521,15.4580001831,13.623046875,210.585061088
18.8924999237,-0.2202039659,-0.7524449825,0.0474503562,0,-0.751016438,9.0836181641,-0.0074083165,0.0846860783,-1.6644734704,1490,1588,1493,1521,15.4580001831,14.013671875,216.62334241
18.9910309315,-0.2244779468,-0.8533937335,0.0379730761,0,-0.1833880395,11.1308317184,-0.0068890379,0.0481454086,-1.682286021,1490,1590,1493,1521,15.4580001831,12.158203125,187.941506132
19.0932049751,-0.2340678722,-0.915595293,0.0367565341,0,-1.764154911,10.2109174728,-0.0081653552,0.0186265182,-1.7040926451,1490,1592,1493,1521,15.4549999237,12.353515625,190.923583042
19.1921770573,-0.2462054938,-0.9725056291,0.015234665,0,2.8326048851,10.333313942,-0.0094863753,0.0186752308,-1.721260397,1489,1593,1493,1521,15.4549999237,11.328125,175.076171011
19.2939040661,-0.2532994449,-0.992487967,-0.0191276837,0,1.4024633169,9.920753479,-0.0112057625,0.0079827433,-1.7311791124,1489,1593,1493,1521,15.4569997787,12.353515625,190.948288282
19.3922479153,-0.2729229629,-1.0198928118,-0.0208393317,0,0.7165561318,10.4355230331,-0.0140275963,0.0059567762,-1.7423314693,1490,1595,1493,1521,15.4569997787,12.548828125,193.967233552
19.4946250916,-0.285810709,-1.0388470888,-0.006994287,0,-0.4245546162,11.0347700119,-0.0145092039,0.0110773859,-1.7452196812,1489,1595,1493,1521,15.4499998093,11.865234375,183.317868831
19.5930149555,-0.2989123464,-1.0533512831,-0.0185566805,0,0.5402248502,9.6631631851,-0.0184999305,0.0015107856,-1.746060874,1489,1594,1493,1521,15.4499998093,11.669921875,180.300290743
19.6956350803,-0.2989701331,-1.0625208616,-0.0009484351,0,-0.8497881293,10.274725914,-0.0193096375,0.0004764964,-1.7449322976,1489,1595,1493,1521,15.4499998093,11.865234375,183.317868831
19.7938909531,-0.3007716835,-1.0868774653,-0.0232959054,0,-1.1680110693,5.6344590187,-0.0213227797,-0.000801882,-1.73872913,1489,1593,1493,1521,15.4490003586,10.595703125,163.693021378
19.8960289955,-0.2904188037,-1.085116148,-0.0311651323,0,-0.0745844916,11.7092170715,-0.020494512,-0.0080856788,-1.7302652801,1489,1595,1493,1521,15.4490003586,9.716796875,150.114798406
19.9943420887,-0.2896356881,-1.0945397615,-0.0616371669,0,-1.2975934744,9.3476209641,-0.0210054594,-0.0050964396,-1.7248486377,1489,1598,1493,1520,15.4490003586,9.86328125,152.377835568
20.0970630646,-0.2936272621,-1.1244065762,-0.0898455381,0,-1.1997513771,12.6242332458,-0.0194728593,0.0039977971,-1.7203095887,1489,1608,1493,1521,15.4530000687,11.865234375,183.353467612
20.195250988,-0.3063912988,-1.1869206429,-0.1092097834,0,0.1984375268,8.7051334381,-0.0225918866,0.0458908323,-1.7154826795,1489,1610,1493,1518,15.4530000687,11.376953125,175.808057422
20.2976870537,-0.30823192,-1.2160887718,-0.1379753649,0,0.3262500167,7.7198729515,-0.0272635494,0.0505440435,-1.7121901016,1489,1613,1493,1521,15.4530000687,12.3046875,190.144336782
20.3957638741,-0.300444603,-1.2933588028,-0.1719225347,0,0.3362405896,9.9639406204,-0.0283597282,0.0517116267,-1.7040644969,1489,1615,1493,1521,15.4569997787,12.744140625,196.986178821
20.4982640743,-0.2849632502,-1.3670104742,-0.1762765199,0,1.5218321085,11.6879281998,-0.0288651419,0.0498195284,-1.6927795768,1489,1615,1493,1521,15.4569997787,12.6953125,196.231442504
20.5966129303,-0.2820770741,-1.3890436888,-0.1756443083,0,1.4754755497,9.1729249954,-0.0306366587,0.0467097734,-1.6905583716,1489,1615,1493,1521,15.4619998932,13.427734375,207.619627472
20.6987640858,-0.258669287,-1.4347105026,-0.1832761914,0,0.7389987111,12.5166406631,-0.0293780241,0.0279608285,-1.6824331383,1489,1610,1493,1521,15.4619998932,12.5,193.274998665
20.7976529598,-0.2363414168,-1.4636361599,-0.1849677265,0,-1.9021245241,8.0427284241,-0.025995353,0.0023532981,-1.6745682752,1489,1610,1493,1521,15.4499998093,13.8671875,214.24804423
20.8994960785,-0.2175661325,-1.4766404629,-0.1938776076,0,-0.3515965343,5.105825901,-0.0242504478,-0.0073232035,-1.672035537,1489,1611,1493,1521,15.4499998093,13.720703125,211.984860664
20.9978029728,-0.1813652068,-1.491351366,-0.1798845381,0,2.7142248154,13.911482811,-0.015667032,-0.0072716453,-1.671509502,1489,1610,1493,1521,15.4499998093,10.791015625,166.721189348
21.1006538868,-0.160005182,-1.5079802275,-0.186038062,0,0.5295038223,8.4032564163,-0.0097898661,-0.0112496838,-1.6755397468,1489,1609,1493,1521,15.4449996948,12.841796875,198.341548815
21.1988129616,-0.1505688429,-1.51078403,-0.1795377582,0,-0.4001768827,10.171087265,-0.0023050212,-0.0184002557,-1.6825884935,1489,1610,1493,1518,15.4449996948,12.98828125,200.603999943
21.3009769917,-0.1378764808,-1.5194334984,-0.1440612674,0,-0.1170849055,11.0477628708,0.0025565521,-0.018414034,-1.6973307262,1489,1610,1493,1521,15.4329996109,11.279296875,174.073384283
21.3992888927,-0.1360823661,-1.5237571001,-0.1306146085,0,0.6717535257,11.8542518616,0.0030581589,-0.0200193111,-1.7079750432,1489,1608,1493,1521,15.4329996109,11.865234375,183.116157493
21.5018789768,-0.1362960637,-1.5258305073,-0.1096053123,0,-1.1241503954,8.2755270004,0.0044329476,-0.0175205657,-1.715209459,1489,1607,1493,1521,15.4329996109,11.474609375,177.08764202
21.600039959,-0.1374457777,-1.5306192637,-0.1086185724,0,-0.8537334204,9.5296297073,0.0091523514,-0.0311675174,-1.7321357562,1489,1607,1493,1521,15.4280004501,13.671875,210.929693654
21.7022030354,-0.1367698461,-1.5293153524,-0.0903437138,0,-2.1763103008,5.3958163261,0.0092767942,-0.0338610438,-1.7404654512,1489,1604,1493,1521,15.4280004501,10.595703125,163.470512582
21.8006539345,-0.1473914087,-1.5169804096,-0.1024643704,0,0.3843811452,10.1606388092,0.0124985226,-0.0417511939,-1.7503730882,1489,1604,1493,1521,15.4320001602,12.20703125,188.378908206
21.9031159878,-0.1530151516,-1.5035461187,-0.1048611775,0,-0.3471063077,6.6527929306,0.0127112321,-0.0462156116,-1.7567280643,1489,1601,1493,1521,15.4320001602,12.40234375,191.392970737
22.0013270378,-0.1609905064,-1.4750169516,-0.1309281886,0,-0.1176067889,9.6214942932,0.0107292877,-0.0546040383,-1.7628222917,1489,1594,1493,1521,15.4320001602,10.400390625,160.498829791
22.1039888859,-0.1604426354,-1.4502357245,-0.1408743262,0,0.4198362827,8.7792844772,0.010952314,-0.0774379913,-1.7715433063,1489,1592,1493,1521,15.4409999847,11.669921875,180.195263494
22.2020390034,-0.1600547284,-1.405862093,-0.1739590019,0,-1.5878773928,12.1225223541,0.0118869091,-0.0905909362,-1.7788068509,1489,1587,1493,1521,15.4409999847,13.37890625,206.583691202
22.3044440746,-0.1574281603,-1.3461219072,-0.1933171153,0,-0.0580606125,11.7126998901,0.0133130829,-0.0977197365,-1.7881869939,1489,1576,1493,1521,15.4409999847,12.451171875,192.258544732
22.4029989243,-0.1495172083,-1.2625918388,-0.1841558367,0,1.0051974058,9.7145586014,0.015166291,-0.1244065547,-1.7925773805,1489,1551,1493,1521,15.4409999847,12.451171875,192.258544732
22.5052919388,-0.1260090619,-1.1624646187,-0.2075443119,0,-0.1633390933,11.7993783951,0.017926467,-0.2000359017,-1.7968953826,1490,1520,1493,1521,15.4409999847,13.0859375,202.059960738
22.6035480499,-0.0922893882,-0.9398943186,-0.2501637638,0,0.3913868368,9.3727674484,0.0191717602,-0.2589642843,-1.7982190684,1489,1505,1493,1521,15.4289999008,13.76953125,212.450096291
22.7058370113,-0.0612530336,-0.762029171,-0.2572093606,0,-0.4159019291,11.2304868698,0.0114727582,-0.2376234152,-1.7926980653,1489,1492,1493,1521,15.4289999008,12.451171875,192.109129624
22.8047120571,-0.0369558409,-0.6370152831,-0.2765589654,0,-1.0818648338,9.5632286072,0.0088228093,-0.2076275358,-1.7842841565,1490,1489,1493,1521,15.4180002213,10.7421875,165.623049252
22.9066910744,-0.0267083459,-0.4794342816,-0.284751296,0,0.5757727027,7.9805021286,0.0144782936,-0.1872163165,-1.7648819575,1490,1487,1493,1521,15.4180002213,14.0625,216.815628111
23.0049369335,-0.0233036168,-0.375518471,-0.2935978472,0,-1.3530645371,12.6289205551,0.0210522423,-0.1830849177,-1.74009698,1490,1489,1493,1521,15.4180002213,13.037109375,201.006155228
23.107352972,-0.0395239927,-0.2792087495,-0.2658286691,0,-0.2211034745,10.7261972427,0.0250201602,-0.18253069,-1.7205231264,1490,1486,1493,1521,15.4149999619,12.3046875,189.676757343
