timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power
259.439200878,-5.3574948311,4.1245889664,0.0621731468,-3.374096632,0.3088520467,16.3657894135,-0.5855183831,0.1020431224,2.4485872365,1612,1860,1547,1634,14.4090003967,717,10.009765625,144.230716861
259.541710854,-5.803191185,3.5007925034,0.0766458958,-0.7248805165,1.4630243778,8.9963283539,-0.5846961376,0.1011102001,2.5432169181,1612,1860,1547,1632,14.4139995575,791,13.623046875,196.362591628
259.639642954,-6.1878108978,2.8108196259,0.0657299533,0.9442335367,-0.3851823509,7.6953926086,-0.5861773921,0.100551926,2.6809737054,1612,1858,1547,1631,14.4139995575,756,11.9140625,171.729291603
259.742041826,-6.4052081108,2.2979228497,0.0738158152,-3.0571649075,-0.4813974798,12.6333475113,-0.5850976815,0.099217958,2.7550099595,1612,1858,1547,1632,14.4350004196,800,14.0625,202.992193401
259.840197802,-6.6485385895,1.5335160494,0.0719697699,-0.6055648327,-3.1509809494,12.160036087,-0.5880004312,0.1058759529,2.8744112061,1612,1860,1547,1632,14.4350004196,784,13.28125,191.714849323
259.942585945,-6.7139620781,1.2589868307,0.0750555471,-1.3982311487,1.0011297464,13.6772823334,-0.5833144846,0.1093146431,2.9243441505,1612,1858,1547,1630,14.4350004196,911,19.482421875,281.22876794
260.040885925,-6.8333787918,0.4554524422,0.0523790084,-1.3124090433,0.068842724,8.1937189102,-0.5800474063,0.1137051323,3.0474437809,1612,1860,1547,1631,14.4379997253,791,13.623046875,196.689547039
260.143337965,-6.877155304,-0.4127152562,0.05091599,-0.8056305647,1.7808116674,9.6838750839,-0.5761226724,0.1162869919,-3.1096213999,1612,1857,1547,1628,14.4379997253,790,13.57421875,195.984566584
260.241645813,-6.8484220505,-0.8993787766,0.0324337557,0.9363527894,2.0805244446,6.1998801231,-0.5744468367,0.1109293701,-3.0351065072,1612,1858,1547,1626,14.4399995804,810,14.55078125,210.113275144
260.344024897,-6.7228775024,-1.6595493555,0.0560395941,0.4836564362,0.4479440153,13.033657074,-0.5679667313,0.1123009137,-2.9203737551,1612,1858,1547,1625,14.4399995804,815,14.794921875,213.638665667
260.442381859,-6.6712255478,-1.8709819317,0.0573592931,-2.7513735294,-0.0997309536,12.8580932617,-0.5684527353,0.1125195196,-2.9058975135,1612,1858,1547,1625,14.4399995804,842,16.11328125,232.675774489
260.540614843,-6.421728611,-2.663640976,0.053573858,1.9317817688,0.4851984084,6.9810585976,-0.5669911801,0.1118896308,-2.7852405632,1612,1857,1547,1626,14.4399995804,840,16.015625,231.26561828
260.643072844,-6.1231284142,-3.3168740273,0.0645279512,0.7374891639,0.0879577175,4.4592194557,-0.5610263747,0.1069954726,-2.6731540315,1612,1857,1547,1625,14.4399995804,727,10.498046875,151.59179247
260.741261005,-5.895357132,-3.7306776047,0.036370717,-1.3691923618,0.2245383412,12.545841217,-0.5650061581,0.1067159023,-2.5903985728,1612,1858,1547,1626,14.4600000381,799,14.013671875,202.637695846
260.843621969,-5.4370393753,-4.3926992416,0.0420390628,-0.566654861,-0.1087932065,6.958190918,-0.5658228056,0.1090245178,-2.4773025359,1612,1857,1547,1627,14.4600000381,751,11.669921875,168.747070757
260.942798853,-5.2642326355,-4.6203765869,0.0489804335,3.4413955212,1.8712899685,3.4510579109,-0.5649720401,0.1085085891,-2.4559682626,1612,1857,1547,1627,14.4600000381,807,14.404296875,208.286133361
261.044542789,-4.7650289536,-5.1481800079,0.038180232,-1.9707645178,0.6787372828,14.5311927795,-0.5643443524,0.1005113628,-2.3370689344,1612,1857,1547,1625,14.4510002136,791,13.623046875,196.866653301
261.143163919,-4.1771974564,-5.6369013786,0.0300184358,-1.5527048111,-0.6541910172,12.0426034927,-0.5688031437,0.100010255,-2.230125787,1612,1855,1547,1627,14.4510002136,792,13.671875,197.572268545
261.245044947,-3.7347199917,-5.9386963844,0.013096353,1.4444202185,0.9994934797,12.4965696335,-0.570099346,0.1006349158,-2.1343507052,1612,1857,1547,1625,14.4449996948,825,15.283203125,220.765864476
261.343628883,-3.0505359173,-6.2984724045,0.0291824974,-1.379330039,0.2452112436,12.3017807007,-0.572422477,0.1045179892,-2.0218151548,1612,1857,1547,1625,14.4449996948,815,14.794921875,213.712641969
261.445955992,-2.8615968227,-6.3904953003,0.015550375,-1.8791739941,-2.3718926907,7.2687268257,-0.5725296071,0.1066342991,-2.0053093367,1612,1857,1547,1627,14.4449996948,808,14.453125,208.775386214
261.544019938,-2.0428700447,-6.6931471825,0.0215265807,-0.0577919483,1.6047822237,12.7708110809,-0.5645327606,0.1162249415,-1.8690947856,1612,1857,1547,1627,14.4329996109,839,15.966796875,230.448773084
261.646412849,-1.3981961012,-6.863155365,0.0146210343,-2.3456289768,-0.7474704385,19.6372642517,-0.560254475,0.1168623101,-1.7857905158,1612,1856,1547,1625,14.4329996109,799,14.013671875,202.259320719
261.74463892,-0.8817691207,-6.943857193,0.0439371057,-1.3890396357,0.6230124831,16.2135448456,-0.5686572966,0.1176724277,-1.6947303875,1612,1857,1547,1627,14.4219999313,790,13.57421875,195.76738188
261.843156815,-0.1065162495,-6.9920172691,0.0370308906,-3.5281071663,-1.891982913,10.9885559082,-0.5694294792,0.1240043835,-1.5789235143,1612,1857,1547,1625,14.4219999313,800,14.0625,202.809374034
261.945448875,0.3273537159,-6.985060215,0.0264642835,0.0788967386,0.2873494327,7.9147872925,-0.5702715483,0.1247776691,-1.5176584098,1612,1857,1547,1625,14.4219999313,839,15.966796875,230.273143434
262.043926001,0.8393881917,-6.9452095032,0.0451055393,0.4235324264,-1.3793131113,3.4437832832,-0.5753266957,0.1251170814,-1.4539540971,1612,1856,1547,1627,14.4200000763,769,12.548828125,180.95410252
262.146161795,1.5994369984,-6.7976398468,0.0381386429,2.6315031052,-0.5412358046,3.2887806892,-0.5787521198,0.1273236432,-1.3417073951,1612,1856,1548,1626,14.4200000763,795,13.818359375,199.260743242
262.245148897,2.3139252663,-6.5816092491,0.0388427339,-1.3140404224,-0.8596063256,12.9622602463,-0.5756619426,0.132414423,-1.2345968635,1611,1855,1548,1625,14.4219999313,816,14.84375,214.07656148
262.346718788,2.7717120647,-6.4045004845,0.057956066,-1.2622301579,-0.9433913231,9.6294736862,-0.5766022961,0.1283971798,-1.1490031057,1611,1854,1548,1625,14.4219999313,815,14.794921875,213.372362265
262.445580006,3.2231485844,-6.1709785461,0.0462163128,-1.8473356962,-0.3332274854,9.6729822159,-0.5828082291,0.1266503653,-1.0806430448,1611,1854,1547,1627,14.4219999313,807,14.404296875,207.738768542
262.547549963,3.7151887417,-5.878264904,0.0564625263,-1.5520932674,1.4879133701,6.6998996735,-0.5911835738,0.1300411887,-1.0108282001,1611,1856,1547,1627,14.4200000763,866,17.28515625,249.251954444
262.645835876,4.3590245247,-5.4128656387,0.0410258099,0.4477992952,-0.2859113216,6.3082113266,-0.59107607,0.1366617151,-0.8982348659,1611,1855,1547,1627,14.4200000763,828,15.4296875,222.496094927
262.74830389,4.764898777,-5.0562300682,0.0257907603,-2.7828476429,0.884822011,20.1401672363,-0.586925715,0.130783345,-0.7926474418,1612,1855,1547,1625,14.4169998169,757,11.962890625,172.46899195
262.846641779,5.2745666504,-4.5118455887,0.048451636,0.8549792767,-0.7278781533,5.7539505959,-0.5891737819,0.1330292501,-0.6908530632,1611,1856,1547,1625,14.4169998169,821,15.087890625,217.522116378
262.945253849,5.2745666504,-4.5118455887,0.048451636,-2.1849589348,1.3860863447,12.8242673874,-0.5891737819,0.1330292501,-0.6908530632,1611,1854,1547,1624,14.4169998169,807,14.404296875,207.666745409
263.0474298,5.8698472977,-3.6589159966,0.0150017794,-3.2635097504,-0.3679659367,9.9576129913,-0.5886348424,0.1341345971,-0.5635252787,1611,1854,1547,1622,14.4259996414,831,15.576171875,224.701849883
263.145737886,6.2099161148,-3.0355689526,0.0535801239,-1.3648073673,-0.3353538811,8.9602899551,-0.5841934144,0.1303216744,-0.450849458,1611,1854,1547,1615,14.4259996414,792,13.671875,197.230463847
263.247862816,6.4283595085,-2.5280630589,0.0284702871,-7.0178751946,-1.1336642504,23.0981426239,-0.5809310159,0.131722996,-0.3595728458,1611,1854,1547,1615,14.4259996414,821,15.087890625,217.657904746
263.34620285,6.6307172775,-1.8488169909,0.0173459314,-2.6042354107,0.2030272782,2.7462685108,-0.5672302209,0.1305562628,-0.2576021126,1611,1854,1547,1614,14.4270000458,797,13.916015625,200.766358059
263.448742867,6.7492604256,-1.3522393704,0.0019188337,-3.1025955677,-1.7146359682,17.8901004791,-0.5556298082,0.1330613369,-0.192731383,1611,1850,1548,1608,14.4270000458,759,12.060546875,173.997510318
263.546916962,6.832315445,-0.6851760149,0.0278704166,0.8080623746,-0.0721748769,11.1945619583,-0.5338863915,0.1290582449,-0.0927949524,1611,1848,1547,1603,14.4289999008,803,14.208984375,205.021434137
263.649345875,6.8361234665,-0.2214964032,0.0295503773,-3.7046368122,-1.1271988154,16.7683582306,-0.5207321716,0.1222230775,-0.0322167601,1608,1847,1547,1592,14.4289999008,807,14.404296875,207.83959818
263.747591972,6.8461451531,0.2212042362,0.0036656,-0.5358531475,-0.4661427438,7.7497601509,-0.5023195857,0.120815827,0.0188848234,1605,1848,1549,1562,14.4370002747,773,12.744140625,183.987161704
263.85016799,6.7968459129,0.7861468196,0.0197425671,-0.0202833842,1.4202762842,4.352897644,-0.4346007917,0.1225109445,0.1050880977,1605,1846,1549,1562,14.4370002747,746,11.42578125,164.954007045
263.948321819,6.7407598496,1.1411163807,0.0307142753,4.5631523132,0.8372921348,0.0401088037,-0.384051358,0.1242361289,0.1440845228,1605,1846,1548,1562,14.4370002747,768,12.5,180.462503434
264.04684186,6.6659493446,1.5356781483,0.0220898427,1.8787362576,-0.1654631943,0.5708397627,-0.3308042294,0.131165987,0.1898253551,1605,1847,1548,1540,14.4499998093,701,9.228515625,133.352049021
264.149236917,6.6096653938,1.8012137413,0.044897262,-5.1175985336,-1.3463947773,18.5077323914,-0.300807562,0.1251339489,0.2135450326,1605,1845,1547,1523,14.4499998093,748,11.5234375,166.513669677
264.24732089,6.5411667824,2.0769546032,0.0182664096,0.2918990552,2.8445491791,9.0213212967,-0.2337356284,0.1175111973,0.2376980823,1604,1844,1547,1525,14.4790000916,765,12.353515625,178.866553866
264.349670887,6.4909205437,2.2155861855,0.04033776,-2.0657224655,3.9269714356,13.726723671,-0.1793857155,0.1157662403,0.2454028769,1604,1845,1547,1525,14.4790000916,735,10.888671875,157.657081076
