timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power,vel,,,,,,,,,,,,,,,,
250.461014032,1.7063844204,0.3132130504,-0.0890880227,0.7845192552,4.4748206139,7.4653859139,0,0,0,1764,1492,1543,1523,15.3850002289,807,14.404296875,221.610110719,86.8588924767,,,,,,,,,,,,,,,,
250.55885005,1.3961410523,0.2891105413,-0.1273789555,0.9325844049,2.3315501213,7.8917403221,0,0,0,1837,1492,1543,1523,15.3850002289,843,16.162109375,248.654056434,71.5719941966,,,,,,,,,,,,,,,,
250.661159039,1.2759883404,0.26314798,-0.0883759335,1.5520516634,2.295829773,9.8895788193,0,0,0,1884,1490,1543,1523,15.3839998245,855,16.748046875,257.651950186,65.2917186525,,,,,,,,,,,,,,,,
250.759717941,1.3318059444,0.2146912515,-0.028407,-0.9326084852,-0.4867734909,12.9119911194,0,0,0,1898,1488,1543,1523,15.3839998245,815,14.794921875,227.605075528,67.4649235651,,,,,,,,,,,,,,,,
250.861910105,1.432259202,0.1839310378,-0.0119399866,-1.9823515415,-1.3111871481,11.6606578827,0,0,0,1898,1485,1544,1523,15.3719997406,808,14.453125,222.173433751,72.2035250466,,,,,,,,,,,,,,,,
250.96035409,1.7957252264,0.1511439681,0.0339981392,-0.1622190028,-0.8207677603,12.0337438583,0,0,0,1898,1487,1544,1523,15.3719997406,856,16.796875,258.201558143,90.1197739302,,,,,,,,,,,,,,,,
251.062669992,2.1291265488,0.1444848925,0.0831606165,0.7893669605,0.0854881704,9.6087141037,0,0,0,1898,1489,1543,1523,15.3629999161,845,16.259765625,249.798777933,106.7821547954,,,,,,,,,,,,,,,,
251.160943031,2.4824318886,0.1659923196,0.1350491494,0.200553149,1.0743479729,10.5017623901,0,0,0,1898,1487,1544,1524,15.3629999161,835,15.771484375,242.29731313,124.5818988102,,,,,,,,,,,,,,,,
251.263539076,2.8839993477,0.1907491386,0.1896169484,-0.4994330704,-1.8269873858,10.3411016464,0,0,0,1898,1487,1544,1523,15.3520002365,888,18.359375,281.853129342,144.8256888343,,,,,,,,,,,,,,,,
251.361746073,3.2806885243,0.2349445373,0.1869774014,3.4450645447,-0.4421640038,10.8171901703,0,0,0,1898,1487,1543,1523,15.3520002365,910,19.43359375,298.344535846,164.7200403542,,,,,,,,,,,,,,,,
